DATE,TOTAL_DAILY_DIFFICULTY,DAILY_DIFFICULTY,STATUS
2022-01-01T00:00:00Z,3.7919055951657e+22,1.16676724420001e+16,Before
2022-01-02T00:00:00Z,3.79957979372825e+22,1.19408389367955e+16,Before
2022-01-03T00:00:00Z,3.80742359388951e+22,1.21751950982986e+16,Before
2022-01-04T00:00:00Z,3.81534590385169e+22,1.23320186337883e+16,Before
2022-01-05T00:00:00Z,3.82332621077803e+22,1.22856008666046e+16,Before
2022-01-06T00:00:00Z,3.83118964581652e+22,1.21737928675175e+16,Before
2022-01-07T00:00:00Z,3.83889197034671e+22,1.18715235553472e+16,Before
2022-01-08T00:00:00Z,3.84651352377677e+22,1.17433914654817e+16,Before
2022-01-09T00:00:00Z,3.85438487303653e+22,1.24258365020723e+16,Before
2022-01-10T00:00:00Z,3.86233862463263e+22,1.20933561954407e+16,Before
2022-01-11T00:00:00Z,3.87011512232949e+22,1.20406670193776e+16,Before
2022-01-12T00:00:00Z,3.87805556179715e+22,1.23474822038012e+16,Before
2022-01-13T00:00:00Z,3.88600000112262e+22,1.22908225591842e+16,Before
2022-01-14T00:00:00Z,3.89394762038591e+22,1.23758139873577e+16,Before
2022-01-15T00:00:00Z,3.90178956417108e+22,1.19355206808069e+16,Before
2022-01-16T00:00:00Z,3.90955820645823e+22,1.20687667686285e+16,Before
2022-01-17T00:00:00Z,3.91744290267101e+22,1.22321589129551e+16,Before
2022-01-18T00:00:00Z,3.9254602942264e+22,1.25248379243326e+16,Before
2022-01-19T00:00:00Z,3.93351176917679e+22,1.23142103232229e+16,Before
2022-01-20T00:00:00Z,3.94146725158218e+22,1.23398625339003e+16,Before
2022-01-21T00:00:00Z,3.9495147483293e+22,1.2502549236385e+16,Before
2022-01-22T00:00:00Z,3.95758796758242e+22,1.25830766916787e+16,Before
2022-01-23T00:00:00Z,3.96581183435658e+22,1.26400406440975e+16,Before
2022-01-24T00:00:00Z,3.97389379662186e+22,1.2448274098665e+16,Before
2022-01-25T00:00:00Z,3.98188580537585e+22,1.22383021731355e+16,Before
2022-01-26T00:00:00Z,3.98988994391459e+22,1.26546045204442e+16,Before
2022-01-27T00:00:00Z,3.99802497697888e+22,1.25644569505166e+16,Before
2022-01-28T00:00:00Z,4.00617440529554e+22,1.24647531117945e+16,Before
2022-01-29T00:00:00Z,4.01424902812851e+22,1.25695519488985e+16,Before
2022-01-30T00:00:00Z,4.02239292857312e+22,1.25402250842151e+16,Before
2022-01-31T00:00:00Z,4.0305626807601e+22,1.25578967445334e+16,Before
2022-02-01T00:00:00Z,4.03877640475581e+22,1.2750470827891e+16,Before
