DATE,AVERAGE_GAS_USED,DAILY_BLOCK,NUMBER_OF_USERS,DAILY_TRANSACTION,STATUS
2023-03-07T00:00:00Z,16435995.5616576,1035152,329455,1035152,Before
2023-03-31T00:00:00Z,16527272.0720336,1150727,408906,1150727,Before
2023-01-05T00:00:00Z,16531109.4188235,1142818,459017,1142818,Before
2023-04-05T00:00:00Z,16311194.3166826,1123693,392243,1123693,Before
2023-02-16T00:00:00Z,16500793.9595034,1138195,362776,1138195,Before
2023-03-25T00:00:00Z,16290714.7619456,1052415,356372,1052415,Before
2023-02-15T00:00:00Z,16405977.9396302,1160879,372491,1160879,Before
2023-03-21T00:00:00Z,16486126.0833014,1081542,377178,1081542,Before
2023-04-19T00:00:00Z,15938313.096067,1085066,285565,1085066,After
2023-04-25T00:00:00Z,15879429.0299341,976311,311735,976311,After
2023-04-18T00:00:00Z,15845503.9429198,1070108,305843,1070108,After
2023-01-29T00:00:00Z,16554463.3498329,998228,321690,998228,Before
2023-01-22T00:00:00Z,16234563.7566402,889814,289996,889814,Before
2023-01-13T00:00:00Z,16676061.6504569,1076328,344367,1076328,Before
2023-02-09T00:00:00Z,16645531.051135,1082467,331694,1082467,Before
2023-01-14T00:00:00Z,16755597.1499281,1107804,372553,1107804,Before
2023-02-20T00:00:00Z,16806640.0899277,1059640,336293,1059640,Before
2023-01-10T00:00:00Z,16803773.065499,1061055,346970,1061055,Before
2023-03-08T00:00:00Z,16368911.5051603,1011772,324265,1011772,Before
2023-02-01T00:00:00Z,16590993.0411685,1064236,349387,1064236,Before
2023-02-17T00:00:00Z,16556281.6298391,1066755,342285,1066755,Before
2023-04-20T00:00:00Z,15962328.9235778,1073576,304266,1073576,After
2023-04-22T00:00:00Z,15674853.0089964,861896,261833,861896,After
2023-01-12T00:00:00Z,16735780.1903547,1085563,364264,1085563,Before
2023-04-07T00:00:00Z,16411373.4853788,1043552,376349,1043552,Before
2023-01-02T00:00:00Z,16413355.0692673,920276,279172,920276,Before
2023-02-08T00:00:00Z,16568189.3091084,1121215,352988,1121215,Before
2023-01-21T00:00:00Z,16356116.0827542,994076,333533,994076,Before
2023-01-25T00:00:00Z,16441233.6801348,1020705,324097,1020705,Before
2023-01-17T00:00:00Z,16585988.5154519,1018353,339361,1018353,Before
2023-03-19T00:00:00Z,16370302.4947227,992358,331517,992358,Before
2023-01-19T00:00:00Z,16458903.7563311,1007125,325320,1007125,Before
2023-03-22T00:00:00Z,16369758.1415863,1073049,374528,1073049,Before
2023-01-23T00:00:00Z,16300524.1211206,947725,303621,947725,Before
2023-02-06T00:00:00Z,16615096.9169029,1077149,336455,1077149,Before
2023-02-21T00:00:00Z,16731622.6832102,1084290,359995,1084290,Before
2023-04-09T00:00:00Z,16126136.5007446,956899,311306,956899,Before
2023-04-11T00:00:00Z,16134524.8337172,1084502,391124,1084502,Before
2023-04-13T00:00:00Z,16570385.2838447,1094764,434869,1094764,After
2023-04-17T00:00:00Z,15850388.082648,1011979,306009,1011979,After
2023-03-23T00:00:00Z,16485341.1325716,1077305,376249,1077305,Before
2023-02-14T00:00:00Z,16781415.6696441,1141796,385663,1141796,Before
2023-04-24T00:00:00Z,15764762.5966174,940804,278737,940804,After
2023-02-25T00:00:00Z,16842121.4223229,995229,375559,995229,Before
2023-03-29T00:00:00Z,16382024.5228564,1165012,428914,1165012,Before
2023-04-04T00:00:00Z,16299350.3466944,1068725,362970,1068725,Before
2023-03-10T00:00:00Z,16506195.5143271,1065950,343510,1065950,Before
2023-02-23T00:00:00Z,16779867.0728096,1093537,395454,1093537,Before
