DAY_OF_WEEK,HOUR_OF_DAY,transactions per minute on hour of day (UTC),User per minute on hour of day (UTC),block per minute on hour of day (UTC)
1_Saturday,0,9797.833333,3782.650000,9797.833333
1_Saturday,1,9726.166667,3960.166667,9726.166667
1_Saturday,2,9636.850000,3923.866667,9636.850000
1_Saturday,3,9364.216667,3823.083333,9364.216667
1_Saturday,4,9003.266667,3724.883333,9003.266667
1_Saturday,5,8978.966667,3834.800000,8978.966667
1_Saturday,6,9105.683333,3936.416667,9105.683333
1_Saturday,7,9002.816667,3830.116667,9002.816667
1_Saturday,8,9263.366667,3883.983333,9263.366667
1_Saturday,9,9306.733333,3975.966667,9306.733333
1_Saturday,10,9781.550000,4325.650000,9781.550000
1_Saturday,11,10009.400000,4513.300000,10009.400000
1_Saturday,12,9972.616667,4372.833333,9972.616667
1_Saturday,13,10337.616667,4416.200000,10337.616667
1_Saturday,14,10577.950000,4477.233333,10577.950000
1_Saturday,15,10592.050000,4346.766667,10592.050000
1_Saturday,16,10492.933333,4236.716667,10492.933333
1_Saturday,17,10615.633333,4306.300000,10615.633333
1_Saturday,18,10313.133333,4195.716667,10313.133333
1_Saturday,19,9888.616667,3974.550000,9888.616667
1_Saturday,20,9914.250000,3993.633333,9914.250000
1_Saturday,21,9579.033333,3801.916667,9579.033333
1_Saturday,22,9560.533333,3813.283333,9560.533333
1_Saturday,23,9204.016667,3644.933333,9204.016667
2_Friday,0,9829.783333,3866.216667,9829.783333
2_Friday,1,9963.100000,3975.466667,9963.100000
2_Friday,2,9923.516667,3902.700000,9923.516667
2_Friday,3,9750.716667,4004.350000,9750.716667
2_Friday,4,9505.550000,3915.100000,9505.550000
2_Friday,5,9209.100000,3861.650000,9209.100000
2_Friday,6,10529.066667,4741.383333,10529.066667
2_Friday,7,10067.483333,4385.833333,10067.483333
2_Friday,8,10680.516667,4663.650000,10680.516667
2_Friday,9,10247.533333,4300.350000,10247.533333
2_Friday,10,10273.316667,4366.250000,10273.316667
2_Friday,11,10582.716667,4479.566667,10582.716667
2_Friday,12,10758.066667,4504.300000,10758.066667
2_Friday,13,10930.816667,4498.916667,10930.816667
2_Friday,14,11285.333333,4631.800000,11285.333333
2_Friday,15,11502.483333,4568.466667,11502.483333
2_Friday,16,11379.316667,4388.033333,11379.316667
2_Friday,17,11321.500000,4443.150000,11321.500000
2_Friday,18,10943.500000,4359.383333,10943.500000
2_Friday,19,10585.250000,4157.016667,10585.250000
2_Friday,20,10526.700000,4071.483333,10526.700000
2_Friday,21,10312.833333,4014.933333,10312.833333
2_Friday,22,10437.233333,4208.983333,10437.233333
2_Friday,23,10136.916667,3990.966667,10136.916667
3_Thursday,0,9678.016667,3679.050000,9678.016667
3_Thursday,1,9909.000000,3845.583333,9909.000000
3_Thursday,2,9794.833333,3909.533333,9794.833333
3_Thursday,3,9828.616667,3938.016667,9828.616667
3_Thursday,4,9576.450000,3923.550000,9576.450000
3_Thursday,5,9996.266667,4272.000000,9996.266667
3_Thursday,6,9939.983333,4220.783333,9939.983333
3_Thursday,7,10068.616667,4444.650000,10068.616667
3_Thursday,8,10046.200000,4229.516667,10046.200000
3_Thursday,9,10054.483333,4226.900000,10054.483333
3_Thursday,10,10653.666667,4683.250000,10653.666667
3_Thursday,11,11064.516667,5082.333333,11064.516667
3_Thursday,12,11867.050000,5739.966667,11867.050000
3_Thursday,13,11209.066667,4785.000000,11209.066667
3_Thursday,14,11332.166667,4604.133333,11332.166667
3_Thursday,15,11412.666667,4711.466667,11412.666667
3_Thursday,16,11567.700000,4820.816667,11567.700000
3_Thursday,17,11245.016667,4448.966667,11245.016667
3_Thursday,18,10919.600000,4336.066667,10919.600000
3_Thursday,19,10791.583333,4196.100000,10791.583333
3_Thursday,20,10771.250000,4248.666667,10771.250000
3_Thursday,21,10487.200000,4083.050000,10487.200000
3_Thursday,22,10454.816667,4104.533333,10454.816667
3_Thursday,23,10235.733333,4011.883333,10235.733333
4_Wednesday,0,10087.633333,3898.283333,10087.633333
4_Wednesday,1,10295.600000,4080.883333,10295.600000
4_Wednesday,2,10186.016667,4135.583333,10186.016667
4_Wednesday,3,10465.850000,4484.616667,10465.850000
4_Wednesday,4,9739.583333,4072.033333,9739.583333
4_Wednesday,5,9728.333333,4075.850000,9728.333333
4_Wednesday,6,9874.766667,4208.766667,9874.766667
4_Wednesday,7,10125.466667,4424.433333,10125.466667
4_Wednesday,8,10609.016667,4703.366667,10609.016667
4_Wednesday,9,10275.616667,4287.533333,10275.616667
4_Wednesday,10,11045.166667,4999.916667,11045.166667
4_Wednesday,11,10812.200000,4689.133333,10812.200000
4_Wednesday,12,10762.483333,4419.683333,10762.483333
4_Wednesday,13,11178.016667,4603.216667,11178.016667
4_Wednesday,14,11346.700000,4572.550000,11346.700000
4_Wednesday,15,11392.950000,4477.133333,11392.950000
4_Wednesday,16,11483.250000,4584.350000,11483.250000
4_Wednesday,17,11117.650000,4397.183333,11117.650000
4_Wednesday,18,10793.850000,4248.900000,10793.850000
4_Wednesday,19,10746.466667,4048.183333,10746.466667
4_Wednesday,20,10775.133333,4193.400000,10775.133333
4_Wednesday,21,10617.116667,4104.183333,10617.116667
4_Wednesday,22,10397.300000,3983.933333,10397.300000
4_Wednesday,23,9932.016667,3840.400000,9932.016667
5_Tuesday,0,10609.233333,4143.783333,10609.233333
5_Tuesday,1,10362.133333,4086.450000,10362.133333
5_Tuesday,2,10512.700000,4078.866667,10512.700000
5_Tuesday,3,10696.383333,4386.466667,10696.383333
5_Tuesday,4,10417.266667,4527.050000,10417.266667
5_Tuesday,5,9820.683333,4087.216667,9820.683333
5_Tuesday,6,10316.733333,4502.383333,10316.733333
5_Tuesday,7,10285.966667,4281.383333,10285.966667
5_Tuesday,8,10565.100000,4302.800000,10565.100000
5_Tuesday,9,10982.400000,4694.650000,10982.400000
5_Tuesday,10,11011.683333,4682.250000,11011.683333
5_Tuesday,11,11086.016667,4648.516667,11086.016667
5_Tuesday,12,11517.483333,4730.683333,11517.483333
5_Tuesday,13,12078.633333,4945.500000,12078.633333
5_Tuesday,14,12369.233333,4974.433333,12369.233333
5_Tuesday,15,12205.716667,4838.450000,12205.716667
5_Tuesday,16,11916.216667,4693.133333,11916.216667
5_Tuesday,17,11952.783333,4691.783333,11952.783333
5_Tuesday,18,11769.716667,4541.916667,11769.716667
5_Tuesday,19,11847.933333,4573.000000,11847.933333
5_Tuesday,20,11753.133333,4522.550000,11753.133333
5_Tuesday,21,11773.533333,4548.916667,11773.533333
5_Tuesday,22,11276.483333,4386.216667,11276.483333
5_Tuesday,23,10954.650000,4287.416667,10954.650000
6_Monday,0,10352.450000,4149.300000,10352.450000
6_Monday,1,10324.266667,4135.250000,10324.266667
6_Monday,2,10045.183333,3885.133333,10045.183333
6_Monday,3,9851.383333,3979.250000,9851.383333
6_Monday,4,9578.516667,3860.266667,9578.516667
6_Monday,5,9639.733333,4101.766667,9639.733333
6_Monday,6,10229.933333,4647.550000,10229.933333
6_Monday,7,10778.216667,4956.533333,10778.216667
6_Monday,8,10522.333333,4353.533333,10522.333333
6_Monday,9,10820.850000,4353.816667,10820.850000
6_Monday,10,10794.450000,4575.833333,10794.450000
6_Monday,11,11054.233333,4673.266667,11054.233333
6_Monday,12,11325.200000,4714.350000,11325.200000
6_Monday,13,11899.666667,5014.216667,11899.666667
6_Monday,14,12545.716667,5446.833333,12545.716667
6_Monday,15,12091.933333,4759.416667,12091.933333
6_Monday,16,12055.900000,4665.933333,12055.900000
6_Monday,17,11904.683333,4667.733333,11904.683333
6_Monday,18,11763.383333,4551.966667,11763.383333
6_Monday,19,11509.800000,4418.216667,11509.800000
6_Monday,20,11519.816667,4486.400000,11519.816667
6_Monday,21,11263.983333,4390.350000,11263.983333
6_Monday,22,10857.983333,4238.700000,10857.983333
6_Monday,23,10974.650000,4457.166667,10974.650000
7_Sunday,0,9613.616667,3710.783333,9613.616667
7_Sunday,1,9408.516667,3811.533333,9408.516667
7_Sunday,2,9324.916667,3779.483333,9324.916667
7_Sunday,3,9226.100000,3840.933333,9226.100000
7_Sunday,4,8934.516667,3765.116667,8934.516667
7_Sunday,5,8670.066667,3641.733333,8670.066667
7_Sunday,6,8964.150000,3876.283333,8964.150000
7_Sunday,7,9068.433333,3912.450000,9068.433333
7_Sunday,8,9626.050000,4288.200000,9626.050000
7_Sunday,9,9859.416667,4414.833333,9859.416667
7_Sunday,10,9963.166667,4513.350000,9963.166667
7_Sunday,11,10001.083333,4497.416667,10001.083333
7_Sunday,12,10742.150000,4750.266667,10742.150000
7_Sunday,13,11120.883333,4908.000000,11120.883333
7_Sunday,14,11300.750000,4903.700000,11300.750000
7_Sunday,15,11429.950000,4890.216667,11429.950000
7_Sunday,16,11365.716667,4709.933333,11365.716667
7_Sunday,17,11578.200000,4850.300000,11578.200000
7_Sunday,18,11194.133333,4626.800000,11194.133333
7_Sunday,19,10881.050000,4323.100000,10881.050000
7_Sunday,20,10931.350000,4248.450000,10931.350000
7_Sunday,21,10668.600000,4127.216667,10668.600000
7_Sunday,22,10642.383333,4250.716667,10642.383333
7_Sunday,23,10170.966667,4017.366667,10170.966667
