DAY_OF_WEEK,HOUR_OF_DAY,transactions per minute on hour of day (UTC),User per minute on hour of day (UTC),block per minute on hour of day (UTC)
1_Saturday,0,1276.166667,623.683333,1276.166667
1_Saturday,1,1233.266667,617.183333,1233.266667
1_Saturday,2,1229.083333,638.450000,1229.083333
1_Saturday,3,1149.683333,575.316667,1149.683333
1_Saturday,4,1082.500000,537.450000,1082.500000
1_Saturday,5,1145.266667,558.833333,1145.266667
1_Saturday,6,1196.683333,583.900000,1196.683333
1_Saturday,7,1223.366667,607.533333,1223.366667
1_Saturday,8,1238.583333,595.850000,1238.583333
1_Saturday,9,1297.383333,650.700000,1297.383333
1_Saturday,10,1230.016667,631.016667,1230.016667
1_Saturday,11,1244.816667,645.166667,1244.816667
1_Saturday,12,1320.016667,681.900000,1320.016667
1_Saturday,13,1417.683333,711.466667,1417.683333
1_Saturday,14,1512.433333,744.266667,1512.433333
1_Saturday,15,1472.766667,705.366667,1472.766667
1_Saturday,16,1481.900000,694.966667,1481.900000
1_Saturday,17,1439.233333,660.033333,1439.233333
1_Saturday,18,1386.833333,653.066667,1386.833333
1_Saturday,19,1510.750000,803.183333,1510.750000
1_Saturday,20,1629.350000,892.883333,1629.350000
1_Saturday,21,1515.466667,780.183333,1515.466667
1_Saturday,22,1312.516667,588.116667,1312.516667
1_Saturday,23,1422.366667,686.350000,1422.366667
2_Friday,0,1399.816667,634.716667,1399.816667
2_Friday,1,1524.483333,704.900000,1524.483333
2_Friday,2,1565.383333,776.583333,1565.383333
2_Friday,3,1449.300000,713.233333,1449.300000
2_Friday,4,1512.766667,807.816667,1512.766667
2_Friday,5,1442.866667,715.183333,1442.866667
2_Friday,6,1524.150000,728.566667,1524.150000
2_Friday,7,1555.483333,768.716667,1555.483333
2_Friday,8,1572.433333,832.816667,1572.433333
2_Friday,9,1481.916667,761.883333,1481.916667
2_Friday,10,1512.166667,765.883333,1512.166667
2_Friday,11,1542.066667,775.883333,1542.066667
2_Friday,12,1540.600000,748.333333,1540.600000
2_Friday,13,1582.466667,756.850000,1582.466667
2_Friday,14,1648.683333,789.366667,1648.683333
2_Friday,15,1551.583333,755.383333,1551.583333
2_Friday,16,1509.333333,716.500000,1509.333333
2_Friday,17,1539.050000,716.150000,1539.050000
2_Friday,18,1466.500000,658.850000,1466.500000
2_Friday,19,1483.583333,669.566667,1483.583333
2_Friday,20,1506.016667,667.066667,1506.016667
2_Friday,21,1480.683333,693.800000,1480.683333
2_Friday,22,1452.000000,701.783333,1452.000000
2_Friday,23,1427.200000,730.300000,1427.200000
3_Thursday,0,1420.933333,702.466667,1420.933333
